t,cell,size,z,r,p
0.0,0.0,1.0,0.0,0.0,0.0
1.01997,0.0,1.0,0.0,0.0,55.0
2.00419,0.0,1.0,0.0,0.0,101.0
3.01451,0.0,1.0,0.0,1.0,146.0
4.0088,0.0,1.0,0.0,0.0,197.0
5.01537,0.0,1.0,0.0,0.0,253.0
6.00146,0.0,1.0,0.0,3.0,308.0
7.00434,0.0,1.0,1.0,3.0,364.0
8.02869,0.0,1.0,1.0,3.0,421.0
9.02073,0.0,1.0,0.0,3.0,471.0
10.00364,0.0,1.0,1.0,4.0,532.0
11.00084,0.0,1.0,1.0,4.0,592.0
12.00148,0.0,1.0,1.0,5.0,639.0
13.00313,0.0,1.0,1.0,6.0,704.0
14.02375,0.0,1.0,1.0,5.0,754.0
15.02651,0.0,1.0,2.0,6.0,802.0
16.00011,0.0,1.0,2.0,8.0,859.0
17.012,0.0,1.0,2.0,8.0,909.0
18.00211,0.0,1.0,3.0,8.0,956.0
19.01358,0.0,1.0,3.0,9.0,997.0
20.05721,0.0,1.0,3.0,10.0,1049.0
21.03794,0.0,1.0,3.0,12.0,1092.0
22.00235,0.0,1.0,3.0,12.0,1140.0
23.01034,0.0,1.0,3.0,13.0,1207.0
24.03125,0.0,1.0,3.0,13.0,1250.0
25.00518,0.0,1.0,3.0,15.0,1292.0
26.00723,0.0,1.0,3.0,17.0,1342.0
27.0245,0.0,1.0,3.0,17.0,1400.0
28.02867,0.0,1.0,4.0,19.0,1446.0
29.0168,0.0,1.0,4.0,19.0,1511.0
30.0213,0.0,1.0,4.0,24.0,1555.0
31.07347,0.0,1.0,4.0,24.0,1608.0
32.00314,0.0,1.0,4.0,24.0,1657.0
33.00475,0.0,1.0,4.0,24.0,1722.0
34.0265,0.0,1.0,4.0,25.0,1784.0
35.0293,0.0,1.0,4.0,26.0,1830.0
36.00512,0.0,1.0,4.0,26.0,1902.0
37.0059,0.0,1.0,4.0,27.0,1959.0
38.00046,0.0,1.0,5.0,28.0,2000.0
39.00003,0.0,1.0,5.0,29.0,2046.0
40.01641,0.0,1.0,5.0,29.0,2102.0
41.00213,0.0,1.0,5.0,30.0,2149.0
42.00445,0.0,1.0,5.0,31.0,2192.0
43.04189,0.0,1.0,6.0,31.0,2253.0
44.00281,0.0,1.0,6.0,31.0,2305.0
45.01174,0.0,1.0,6.0,33.0,2367.0
46.0345,0.0,1.0,6.0,34.0,2422.0
47.00234,0.0,1.0,7.0,36.0,2470.0
48.00844,0.0,1.0,7.0,37.0,2529.0
49.05186,0.0,1.0,7.0,36.0,2590.0
50.00465,0.0,1.0,7.0,37.0,2628.0
51.04398,0.0,1.0,7.0,38.0,2679.0
52.00552,0.0,1.0,6.0,39.0,2719.0
53.03,0.0,1.0,6.0,39.0,2779.0
54.02606,0.0,1.0,6.0,38.0,2831.0
55.00103,0.0,1.0,7.0,41.0,2881.0
56.02915,0.0,1.0,8.0,43.0,2932.0
57.01335,0.0,1.0,8.0,45.0,2981.0
58.01946,0.0,1.0,8.0,46.0,3032.0
59.00974,0.0,1.0,8.0,47.0,3079.0
60.03826,0.0,1.0,8.0,48.0,3121.0
61.00864,0.0,1.0,8.0,50.0,3171.0
62.0105,0.0,1.0,9.0,50.0,3215.0
63.00544,0.0,1.0,9.0,51.0,3273.0
64.01228,0.0,1.0,9.0,51.0,3317.0
65.02215,0.0,1.0,9.0,52.0,3372.0
66.0087,0.0,1.0,9.0,52.0,3412.0
67.01333,0.0,1.0,9.0,53.0,3473.0
68.02204,0.0,1.0,9.0,53.0,3541.0
69.001,0.0,1.0,9.0,55.0,3584.0
70.04015,0.0,1.0,9.0,55.0,3635.0
71.02174,0.0,1.0,8.0,55.0,3681.0
72.07641,0.0,1.0,8.0,55.0,3736.0
73.00757,0.0,1.0,7.0,57.0,3779.0
74.00186,0.0,1.0,8.0,57.0,3827.0
75.00772,0.0,1.0,8.0,57.0,3880.0
76.0282,0.0,1.0,9.0,57.0,3917.0
77.0055,0.0,1.0,9.0,59.0,3968.0
78.00357,0.0,1.0,9.0,60.0,4018.0
79.02903,0.0,1.0,10.0,60.0,4068.0
80.00053,0.0,1.0,10.0,62.0,4109.0
81.039,0.0,1.0,10.0,63.0,4163.0
82.02011,0.0,1.0,9.0,63.0,4216.0
83.01487,0.0,1.0,9.0,63.0,4261.0
84.00745,0.0,1.0,9.0,63.0,4320.0
85.04446,0.0,1.0,9.0,66.0,4385.0
86.00386,0.0,1.0,10.0,66.0,4418.0
87.00475,0.0,1.0,11.0,70.0,4461.0
88.01419,0.0,1.0,11.0,71.0,4521.0
89.00587,0.0,1.0,11.0,73.0,4568.0
90.0509,0.0,1.0,11.0,73.0,4617.0
91.0056,0.0,1.0,11.0,73.0,4657.0
92.00286,0.0,1.0,12.0,76.0,4704.0
93.0021,0.0,1.0,12.0,77.0,4742.0
94.00721,0.0,1.0,12.0,78.0,4797.0
95.01938,0.0,1.0,12.0,79.0,4833.0
96.00143,0.0,1.0,12.0,78.0,4885.0
97.0044,0.0,1.0,12.0,77.0,4937.0
98.04456,0.0,1.0,12.0,77.0,4980.0
99.03561,0.0,1.0,12.0,78.0,5028.0
100.01945,0.0,1.0,12.0,80.0,5088.0
101.01576,0.0,1.0,12.0,81.0,5141.0
102.02038,0.0,1.0,13.0,83.0,5186.0
103.04803,0.0,1.0,13.0,84.0,5231.0
104.05015,0.0,1.0,14.0,89.0,5282.0
105.01269,0.0,1.0,14.0,89.0,5318.0
106.01137,0.0,1.0,14.0,90.0,5372.0
107.00359,0.0,1.0,14.0,91.0,5433.0
108.04015,0.0,1.0,14.0,92.0,5488.0
109.03921,0.0,1.0,14.0,92.0,5540.0
110.00248,0.0,1.0,14.0,94.0,5588.0
111.04163,0.0,1.0,15.0,95.0,5639.0
112.015,0.0,1.0,15.0,95.0,5679.0
113.01968,0.0,1.0,15.0,93.0,5728.0
114.00233,0.0,1.0,16.0,93.0,5779.0
115.00571,0.0,1.0,17.0,94.0,5823.0
116.01448,0.0,1.0,17.0,94.0,5862.0
117.00368,0.0,1.0,17.0,96.0,5912.0
118.00395,0.0,1.0,17.0,96.0,5962.0
119.0159,0.0,1.0,16.0,97.0,6013.0
120.0134,0.0,1.0,16.0,96.0,6052.0
121.01995,0.0,1.0,17.0,96.0,6102.0
122.0046,0.0,1.0,17.0,97.0,6148.0
123.03389,0.0,1.0,17.0,98.0,6179.0
124.0341,0.0,1.0,17.0,97.0,6212.0
125.00574,0.0,1.0,17.0,97.0,6267.0
126.00266,0.0,1.0,17.0,98.0,6311.0
127.04042,0.0,1.0,18.0,98.0,6358.0
128.04174,0.0,1.0,18.0,99.0,6402.0
129.01411,0.0,1.0,18.0,100.0,6450.0
130.02894,0.0,1.0,18.0,101.0,6491.0
131.05613,0.0,1.0,18.0,102.0,6544.0
132.01357,0.0,1.0,18.0,103.0,6609.0
133.00587,0.0,1.0,18.0,104.0,6665.0
134.02139,0.0,1.0,18.0,106.0,6727.0
135.00204,0.0,1.0,18.0,106.0,6775.0
136.04288,0.0,1.0,18.0,108.0,6842.0
137.00163,0.0,1.0,18.0,110.0,6891.0
138.00175,0.0,1.0,18.0,110.0,6937.0
139.03911,0.0,1.0,18.0,110.0,6979.0
140.00078,0.0,1.0,18.0,111.0,7031.0
141.01415,0.0,1.0,18.0,113.0,7074.0
142.01552,0.0,1.0,18.0,114.0,7122.0
143.00709,0.0,1.0,18.0,116.0,7165.0
144.0143,0.0,1.0,18.0,117.0,7221.0
145.0061,0.0,1.0,19.0,117.0,7264.0
146.01012,0.0,1.0,19.0,119.0,7323.0
147.02785,0.0,1.0,19.0,120.0,7375.0
148.00864,0.0,1.0,19.0,121.0,7411.0
149.00577,0.0,1.0,19.0,123.0,7459.0
0.0,1.0,1.0,0.0,0.0,0.0
1.00097,1.0,1.0,0.0,-1.0,68.0
2.01652,1.0,1.0,0.0,0.0,128.0
3.04561,1.0,1.0,0.0,1.0,181.0
4.01189,1.0,1.0,0.0,1.0,221.0
5.01182,1.0,1.0,0.0,1.0,264.0
6.00129,1.0,1.0,0.0,3.0,322.0
7.01094,1.0,1.0,0.0,3.0,368.0
8.05032,1.0,1.0,0.0,4.0,414.0
9.0035,1.0,1.0,0.0,6.0,462.0
10.00141,1.0,1.0,1.0,7.0,507.0
11.00649,1.0,1.0,1.0,7.0,566.0
12.01281,1.0,1.0,1.0,7.0,624.0
13.00007,1.0,1.0,1.0,6.0,671.0
14.02874,1.0,1.0,1.0,6.0,722.0
15.05049,1.0,1.0,1.0,7.0,778.0
16.00679,1.0,1.0,1.0,7.0,832.0
17.00507,1.0,1.0,2.0,7.0,871.0
18.00172,1.0,1.0,2.0,8.0,928.0
19.01643,1.0,1.0,2.0,8.0,994.0
20.00514,1.0,1.0,2.0,9.0,1031.0
21.01284,1.0,1.0,2.0,10.0,1079.0
22.00944,1.0,1.0,2.0,10.0,1136.0
23.01302,1.0,1.0,2.0,11.0,1181.0
24.01134,1.0,1.0,2.0,11.0,1214.0
25.02217,1.0,1.0,2.0,12.0,1268.0
26.03282,1.0,1.0,2.0,14.0,1309.0
27.05381,1.0,1.0,2.0,14.0,1344.0
28.04031,1.0,1.0,2.0,17.0,1392.0
29.00432,1.0,1.0,4.0,20.0,1450.0
30.00785,1.0,1.0,5.0,21.0,1503.0
31.00296,1.0,1.0,5.0,21.0,1552.0
32.00065,1.0,1.0,4.0,22.0,1605.0
33.01038,1.0,1.0,4.0,22.0,1647.0
34.01206,1.0,1.0,4.0,22.0,1696.0
35.01955,1.0,1.0,4.0,26.0,1748.0
36.00372,1.0,1.0,6.0,27.0,1788.0
37.02358,1.0,1.0,6.0,28.0,1837.0
38.02314,1.0,1.0,6.0,29.0,1897.0
39.02892,1.0,1.0,6.0,30.0,1943.0
40.01386,1.0,1.0,7.0,30.0,1992.0
41.06425,1.0,1.0,8.0,29.0,2045.0
42.00469,1.0,1.0,8.0,29.0,2083.0
43.0244,1.0,1.0,8.0,29.0,2138.0
